name,gpu_score
557,geforce gtx 760a,1226.0
558,geforce gtx 760m,1720.0
559,geforce gtx 765m,1998.0
560,geforce gtx 770,5921.0
561,geforce gtx 770m,2794.0
562,geforce gtx 775m,3635.0
563,geforce gtx 780,8006.0
564,geforce gtx 780 ti,9528.0
565,geforce gtx 780m,3854.0
566,geforce gtx 850a,1050.0
567,geforce gtx 850m,2516.0
568,geforce gtx 850m - modded,1092.0
569,geforce gtx 860m,3047.0
570,geforce gtx 870m,3450.0
571,geforce gtx 880m,3818.0
572,geforce gtx 950,5336.0
573,geforce gtx 950a,2554.0
574,geforce gtx 950m,2587.0
575,geforce gtx 960,6080.0
576,geforce gtx 960a,3355.0
577,geforce gtx 960m,3377.0
578,geforce gtx 965m,3794.0
579,geforce gtx 970,9637.0
580,geforce gtx 970m,5724.0
581,geforce gtx 970xm force,6707.0
582,geforce gtx 980,11101.0
583,geforce gtx 980 ti,13808.0
584,geforce gtx 980m,7357.0
585,geforce gtx titan,8190.0
586,geforce gtx titan black,8972.0
587,geforce gtx titan x,12938.0
588,geforce gtx titan z,8942.0
589,geforce mx110,1435.0
590,geforce mx130,1835.0
591,geforce mx150,2272.0
592,geforce mx230,1835.0
593,geforce mx250,2412.0
594,geforce mx330,2434.0
595,geforce mx350,2806.0
596,geforce mx450,3735.0
597,geforce mx550,4541.0
598,geforce mx570,5729.0
599,geforce mx570 a,5993.0
600,geforce pcx 5300,6.0
601,geforce pcx 5750,35.0
602,geforce pcx 5900,34.0
603,geforce rtx 2050,7646.0
604,geforce rtx 2060,14147.0
605,geforce rtx 2060 (mobile),11355.0
606,geforce rtx 2060 12gb,15912.0
607,geforce rtx 2060 super,16533.0
608,geforce rtx 2060 with max-q design,9763.0
609,geforce rtx 2070,16152.0
610,geforce rtx 2070 (mobile),12354.0
611,geforce rtx 2070 super,18228.0
612,geforce rtx 2070 super with max-q design,13735.0
613,geforce rtx 2070 with max-q design,11665.0
614,geforce rtx 2080,18794.0
615,geforce rtx 2080 (mobile),15107.0
616,geforce rtx 2080 super,19576.0
617,geforce rtx 2080 super with max-q design,13843.0
618,geforce rtx 2080 ti,21743.0
619,geforce rtx 2080 with max-q design,13087.0
620,geforce rtx 3050 4gb laptop gpu,6757.0
621,geforce rtx 3050 6gb,10658.0
622,geforce rtx 3050 6gb laptop gpu,10336.0
623,geforce rtx 3050 8gb,12812.0
624,geforce rtx 3050 a laptop gpu,6038.0
625,geforce rtx 3050 laptop gpu,9461.0
626,geforce rtx 3050 oem,11971.0
627,geforce rtx 3050 ti laptop gpu,10141.0
628,geforce rtx 3060 12gb,17000.0
629,geforce rtx 3060 8gb,15399.0
630,geforce rtx 3060 laptop gpu,13356.0
631,geforce rtx 3060 ti,20496.0
632,geforce rtx 3070,22372.0
633,geforce rtx 3070 laptop gpu,15457.0
634,geforce rtx 3070 ti,23582.0
635,geforce rtx 3070 ti laptop gpu,17978.0
636,geforce rtx 3080,25229.0
637,geforce rtx 3080 12gb,26679.0
638,geforce rtx 3080 laptop gpu,16448.0
639,geforce rtx 3080 ti,27126.0
640,geforce rtx 3080 ti laptop gpu,19738.0
641,geforce rtx 3090,26735.0
642,geforce rtx 3090 ti,29695.0
643,geforce rtx 4050 laptop gpu,14436.0
644,geforce rtx 4060,19907.0
645,geforce rtx 4060 laptop gpu,17652.0
646,geforce rtx 4060 ti,22895.0
647,geforce rtx 4060 ti 16gb,22862.0
648,geforce rtx 4070,26980.0
649,geforce rtx 4070 laptop gpu,19533.0
650,geforce rtx 4070 super,30193.0
651,geforce rtx 4070 ti,31820.0
652,geforce rtx 4070 ti super,31648.0
653,geforce rtx 4080,34623.0
654,geforce rtx 4080 laptop gpu,25135.0
655,geforce rtx 4080 super,34218.0
656,geforce rtx 4090,38589.0
657,geforce rtx 4090 d,37631.0
658,geforce rtx 4090 laptop gpu,27717.0
659,geforce2 go,4.0
660,geforce2 gts/geforce2 pro,4.0
661,geforce2 integrated gpu,4.0
662,geforce2 mx,3.0
663,geforce2 mx 100/200,3.0
664,geforce2 mx with dvi-d and tv-out,5.0
665,geforce2 mx with tv out,3.0
666,geforce2 mx/mx 400,4.0
667,geforce2 ti,5.0
668,geforce2 ultra,6.0
669,geforce3,5.0
670,geforce3 ti 200,4.0
671,geforce3 ti 500,3.0
672,geforce4 420 go,3.0
673,geforce4 420 go 32m,5.0
674,geforce4 4200 go,4.0
675,geforce4 440,5.0
676,geforce4 440 go,4.0
677,geforce4 440 go 64m,6.0
678,geforce4 448 go,6.0
679,geforce4 mx 4000,5.0
680,geforce4 mx 420,5.0
681,geforce4 mx 440,5.0
682,geforce4 mx 440 with agp8x,5.0
683,geforce4 mx 440se,5.0
684,geforce4 mx 460,4.0
685,geforce4 mx integrated gpu,7.0
686,geforce4 ti 4200,6.0
687,geforce4 ti 4400,7.0
688,geforce4 ti 4600,6.0
689,geforce4 ti 4800,6.0
690,geforce4 ti 4800 se,7.0
691,geforce9400m,106.0
692,gf117,554.0
